artwork||museum
http://dbpedia.org/resource/Apse_of_Santa_Maria_d'%C3%80neu||http://dbpedia.org/resource/Museu_Nacional_d'Art_de_Catalunya
http://dbpedia.org/resource/Aquis_Submersus||http://dbpedia.org/resource/St%C3%A4del
http://dbpedia.org/resource/Arbre_Serpents||http://dbpedia.org/resource/National_Museum_of_Women_in_the_Arts
http://dbpedia.org/resource/Arch_(sculpture)||http://dbpedia.org/resource/Lynden_Sculpture_Garden
http://dbpedia.org/resource/Archibald_Willard__Sprit_of_'76.2.jpeg__1||http://dbpedia.org/resource/Marblehead,_Massachusetts
http://dbpedia.org/resource/Are_Years_What%3F_(for_Marianne_Moore)||http://dbpedia.org/resource/Hirshhorn_Museum_and_Sculpture_Garden
http://dbpedia.org/resource/Argo_(Liberman)||http://dbpedia.org/resource/Milwaukee_Art_Museum
http://dbpedia.org/resource/Aristotle_(painting)||http://dbpedia.org/resource/Indianapolis_Museum_of_Art
http://dbpedia.org/resource/Arles:_View_from_the_Wheat_Fields||http://dbpedia.org/resource/Mus%C3%A9e_Rodin
http://dbpedia.org/resource/Armada_Portrait||http://dbpedia.org/resource/Woburn_Abbey
http://dbpedia.org/resource/Arnolfini_Portrait||http://dbpedia.org/resource/National_Gallery
http://dbpedia.org/resource/Around_the_Piano||http://dbpedia.org/resource/Mus%C3%A9e_d'Orsay
http://dbpedia.org/resource/Arrival_of_the_Hungarians||http://dbpedia.org/resource/%C3%93pusztaszer_National_Heritage_Park
http://dbpedia.org/resource/Arrotino||http://dbpedia.org/resource/Uffizi
http://dbpedia.org/resource/Art_patronage_of_Julius_II||http://dbpedia.org/resource/National_Gallery
http://dbpedia.org/resource/Artemisia_(Rembrandt)||http://dbpedia.org/resource/Museo_del_Prado
http://dbpedia.org/resource/Artist's_Studio%E2%80%94Look_Mickey||http://dbpedia.org/resource/Walker_Art_Center
http://dbpedia.org/resource/As_I_Opened_Fire||http://dbpedia.org/resource/Stedelijk_Museum_Amsterdam
http://dbpedia.org/resource/Asai_Ch%C5%AB__Asai_Chu_-_Harvest.jpg__1||http://dbpedia.org/resource/Tokyo_University_of_the_Arts
http://dbpedia.org/resource/Ascent_the_Wind||http://dbpedia.org/resource/Indianapolis_Art_Center
http://dbpedia.org/resource/Ashbourne_portrait||http://dbpedia.org/resource/Folger_Shakespeare_Library
http://dbpedia.org/resource/Asni%C3%A8res_(Van_Gogh_series)||http://dbpedia.org/resource/Art_Institute_of_Chicago
http://dbpedia.org/resource/Assumption_of_the_Virgin_(Andrea_del_Castagno)||http://dbpedia.org/resource/Gem%C3%A4ldegalerie,_Berlin
http://dbpedia.org/resource/Assumption_of_the_Virgin_(Carracci)||http://dbpedia.org/resource/Museo_del_Prado
http://dbpedia.org/resource/Assumption_of_the_Virgin_(Carracci)||http://dbpedia.org/resource/Basilica_of_Santa_Maria_del_Popolo
http://dbpedia.org/resource/Assumption_of_the_Virgin_(Correggio)||http://dbpedia.org/resource/Parma_Cathedral
http://dbpedia.org/resource/Assumption_of_the_Virgin_(Titian)||http://dbpedia.org/resource/Santa_Maria_Gloriosa_dei_Frari
http://dbpedia.org/resource/Assumption_of_the_Virgin_Mary_(Rubens)||http://dbpedia.org/resource/Cathedral_of_Our_Lady_(Antwerp)
http://dbpedia.org/resource/Astronomer_Copernicus,_or_Conversations_with_God||http://dbpedia.org/resource/Jagiellonian_University
http://dbpedia.org/resource/Astronomer_Copernicus,_or_Conversations_with_God||http://dbpedia.org/resource/Collegium_Novum
http://dbpedia.org/resource/At_Eternity's_Gate||http://dbpedia.org/resource/Kr%C3%B6ller-M%C3%BCller_Museum
http://dbpedia.org/resource/At_Eternity's_Gate||http://dbpedia.org/resource/Jan_Hulsker
http://dbpedia.org/resource/At_a_Window_in_the_Artist's_Studio||http://dbpedia.org/resource/Statens_Museum_for_Kunst
http://dbpedia.org/resource/At_the_Moulin_Rouge||http://dbpedia.org/resource/Art_Institute_of_Chicago
http://dbpedia.org/resource/Au_V%C3%A9lodrome||http://dbpedia.org/resource/Peggy_Guggenheim_Collection
http://dbpedia.org/resource/Augustus_of_Prima_Porta||http://dbpedia.org/resource/Vatican_Museums
http://dbpedia.org/resource/Aule_Metele||http://dbpedia.org/resource/National_Archaeological_Museum_(Florence)
http://dbpedia.org/resource/Aurora_(sculpture)||http://dbpedia.org/resource/National_Gallery_of_Art_Sculpture_Garden
http://dbpedia.org/resource/Aurora_Borealis_(painting)||http://dbpedia.org/resource/Smithsonian_American_Art_Museum
http://dbpedia.org/resource/Aurora_Triumphans||http://dbpedia.org/resource/Russell-Cotes_Art_Gallery_&_Museum
http://dbpedia.org/resource/Automat_(painting)||http://dbpedia.org/resource/Des_Moines_Art_Center
http://dbpedia.org/resource/Autumn_Leaves_(painting)||http://dbpedia.org/resource/Manchester_Art_Gallery
http://dbpedia.org/resource/Autumn_Rhythm_(Number_30)||http://dbpedia.org/resource/Metropolitan_Museum_of_Art
http://dbpedia.org/resource/Averoldi_Polyptych||http://dbpedia.org/resource/Santi_Nazaro_e_Celso,_Brescia
http://dbpedia.org/resource/Axeltree||http://dbpedia.org/resource/Lynden_Sculpture_Garden
http://dbpedia.org/resource/Bacchus_(Caravaggio)||http://dbpedia.org/resource/Uffizi
http://dbpedia.org/resource/Bacchus_(Leonardo)||http://dbpedia.org/resource/The_Louvre
http://dbpedia.org/resource/Bacchus_(Michelangelo)||http://dbpedia.org/resource/Bargello
http://dbpedia.org/resource/Bacchus_and_Ariadne||http://dbpedia.org/resource/National_Gallery
http://dbpedia.org/resource/Badia_Polyptych||http://dbpedia.org/resource/Uffizi
http://dbpedia.org/resource/Bailed_Up||http://dbpedia.org/resource/Art_Gallery_of_New_South_Wales
http://dbpedia.org/resource/Bal_du_moulin_de_la_Galette||http://dbpedia.org/resource/Mus%C3%A9e_d'Orsay
http://dbpedia.org/resource/Balbi_Holy_Conversation||http://dbpedia.org/resource/Fondazione_Magnani-Rocca
http://dbpedia.org/resource/Baldachin_from_Tost||http://dbpedia.org/resource/Museu_Nacional_d'Art_de_Catalunya
http://dbpedia.org/resource/Baptism_of_Christ_(Cima_da_Conegliano)||http://dbpedia.org/resource/Venice
http://dbpedia.org/resource/Baptism_of_Christ_(Cima_da_Conegliano)||http://dbpedia.org/resource/San_Giovanni_in_Bragora
http://dbpedia.org/resource/Baptism_of_Christ_(Perugino)||http://dbpedia.org/resource/Sistine_Chapel
http://dbpedia.org/resource/Barbadori_Altarpiece||http://dbpedia.org/resource/The_Louvre
http://dbpedia.org/resource/Barcelona_Series||http://dbpedia.org/resource/Fundaci%C3%B3_Joan_Mir%C3%B3
http://dbpedia.org/resource/Baronci_Altarpiece||http://dbpedia.org/resource/The_Louvre
http://dbpedia.org/resource/Baronci_Altarpiece||http://dbpedia.org/resource/Pinacoteca_Tosio_Martinengo
