(48.8574173085, 2.31472511735);Magnolia;grandiflora;SQUARE D'AJACCIO;PARIS 7E ARRDT;153.0;13.0;114537;Magnolia
(48.8311975549, 2.41168725636);Cryptomeria;japonica;ILE DE BERCY / LAC DAUMESNIL;PARIS 12E ARRDT;122.0;18.0;116855;Cryptomeria
(48.8658628897, 2.40006789337);Corylus;colurna;SQUARE EDOUARD VAILLANT;PARIS 20E ARRDT;160.0;16.0;157926;Noisetier de Byzance
(48.8229510204, 2.33747224929);Ginkgo;biloba;PARC MONTSOURIS;PARIS 14E ARRDT;334.0;27.0;160553;Arbre aux quarante écus
(48.8624451828, 2.28957035566);Sequoia;sempervirens;JARDIN DU TROCADERO;PARIS 16E ARRDT;170.0;15.0;163590;Sequoia
(48.8633907267, 2.24048112696);Cedrus;libani;GRANDE CASCADE - CARREFOUR DE LONGCHAMP;PARIS 16E ARRDT;468.0;25.0;133416;Cèdre
(48.8543846725, 2.29863693912);Cedrus;libani subsp. atlantica;JARDIN DU CHAMP DE MARS;PARIS 7E ARRDT;295.0;20.0;147581;
(48.8939378118, 2.3244386679);Metasequoia;glyptostroboides;SQUARE DE LA VILLA SAINTE CROIX / 10 VILLA SAINTE CROIX;PARIS 17E ARRDT;214.0;15.0;126683;Metaséquoia
(48.8797546767, 2.38066315428);Sequoiadendron;giganteum;PARC DES BUTTES CHAUMONT;PARIS 19E ARRDT;505.0;26.0;128185;Sequoia
(48.8803354834, 2.38130530981);Platanus;x hispanica;PARC DES BUTTES CHAUMONT;PARIS 19E ARRDT;686.0;30.0;123796;Platane
(48.8656166851, 2.39991870907);Platanus;x hispanica;SQUARE EDOUARD VAILLANT;PARIS 20E ARRDT;500.0;28.0;17434;Platane
(48.8678069026, 2.38883414897);Prunus;dulcis;CENTRE D'ANIMATION LES AMANDIERS / 110 RUE DES AMANDIERS;PARIS 20E ARRDT;240.0;9.0;126823;Amandier
(48.8462426895, 2.25137540594);Acer;monspessulanum;JARDIN DES SERRES D AUTEUIL / 1 AVENUE GORDON BENNETT;PARIS 16E ARRDT;200.0;16.0;18328;Erable
(48.8652460255, 2.31335093065);Platanus;x hispanica;JARDINS DES CHAMPS ELYSEES / GRAND PALAIS;PARIS 8E ARRDT;549.0;29.0;220346;Platane
(48.8231288576, 2.33870925824);Ginkgo;biloba;PARC MONTSOURIS;PARIS 14E ARRDT;426.0;30.0;31653;Arbre aux quarante écus
(48.8335444898, 2.41034769634);Platanus;x hispanica;ROUTE DE LA CEINTURE DU LAC DAUMESNIL - LAC DAUMESNIL / PORTE DOREE;PARIS 12E ARRDT;482.0;26.0;37725;Platane
(48.8363411221, 2.29020948574);Fagus;sylvatica;SQUARE DU CLOS FEUQUIERES;PARIS 15E ARRDT;125.0;5.0;42244;Hêtre
