museum,place
http://dbpedia.org/resource/Allan_Shivers_Library_and_Museum,http://dbpedia.org/resource/Texas
http://dbpedia.org/resource/Allan_Shivers_Library_and_Museum,"http://dbpedia.org/resource/Woodville,_Texas"
http://dbpedia.org/resource/Allard_Pierson_Museum,http://dbpedia.org/resource/Amsterdam
http://dbpedia.org/resource/Allard_Pierson_Museum,http://dbpedia.org/resource/Netherlands
http://dbpedia.org/resource/Allen_County_Museum,http://dbpedia.org/resource/Lima
http://dbpedia.org/resource/Allen_County_Museum,http://dbpedia.org/resource/Ohio
http://dbpedia.org/resource/Allen_County_Museum,"http://dbpedia.org/resource/Lima,_Ohio"
http://dbpedia.org/resource/Allentown_Art_Museum,http://dbpedia.org/resource/Pennsylvania
http://dbpedia.org/resource/Allentown_Art_Museum,"http://dbpedia.org/resource/Allentown,_Pennsylvania"
http://dbpedia.org/resource/Allihies_Copper_Mine_Museum,http://dbpedia.org/resource/Beara_Peninsula
http://dbpedia.org/resource/Allihies_Copper_Mine_Museum,http://dbpedia.org/resource/County_Cork
http://dbpedia.org/resource/Allihies_Copper_Mine_Museum,http://dbpedia.org/resource/Allihies
http://dbpedia.org/resource/Allihies_Copper_Mine_Museum,http://dbpedia.org/resource/Republic_of_Ireland
http://dbpedia.org/resource/Almonry_Museum_and_Heritage_Centre,http://dbpedia.org/resource/England
http://dbpedia.org/resource/Almonry_Museum_and_Heritage_Centre,http://dbpedia.org/resource/Evesham
http://dbpedia.org/resource/Alte_Nationalgalerie,http://dbpedia.org/resource/Berlin
http://dbpedia.org/resource/Alte_Nationalgalerie,http://dbpedia.org/resource/Museum_Island
http://dbpedia.org/resource/Alte_Pinakothek,http://dbpedia.org/resource/Kunstareal
http://dbpedia.org/resource/Alte_Pinakothek,http://dbpedia.org/resource/Munich
http://dbpedia.org/resource/Alte_Pinakothek,http://dbpedia.org/resource/Germany
http://dbpedia.org/resource/Amarillo_Museum_of_Art,http://dbpedia.org/resource/Texas
http://dbpedia.org/resource/Amarillo_Museum_of_Art,"http://dbpedia.org/resource/Amarillo,_Texas"
http://dbpedia.org/resource/Amathole_Museum,http://dbpedia.org/resource/King_William's_Town
http://dbpedia.org/resource/Amathole_Museum,http://dbpedia.org/resource/New_York_City
http://dbpedia.org/resource/Amazing_World_of_Dr._Seuss_Museum,"http://dbpedia.org/resource/Springfield,_Massachusetts"
http://dbpedia.org/resource/Ambarawa_Railway_Museum,http://dbpedia.org/resource/Ambarawa
http://dbpedia.org/resource/Ambarawa_Railway_Museum,http://dbpedia.org/resource/Central_Java
http://dbpedia.org/resource/Ambarawa_Railway_Museum,http://dbpedia.org/resource/Indonesia
